Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Company
17-01-2020,78.02392525,78.63327548,77.71061849,78.6308136,137816400,0,0,AAPL
21-01-2020,78.25089156,78.70234993,77.95731752,78.09793854,110843200,0,0,AAPL
22-01-2020,78.59380663,78.94165508,78.28049985,78.37671661,101832400,0,0,AAPL
23-01-2020,78.43098115,78.83556583,77.87096652,78.75415802,104472000,0,0,AAPL
24-01-2020,79.00579814,79.76563201,78.33230338,78.52719879,146537600,0,0,AAPL
27-01-2020,76.4919124,76.9137679,75.21400635,76.21807861,161940000,0,0,AAPL
28-01-2020,77.11853315,78.54939221,77.0173851,78.37423706,162234000,0,0,AAPL
29-01-2020,80.04194198,80.88072178,79.28457,80.01480103,216229200,0,0,AAPL
30-01-2020,79.07734055,79.95312387,78.63574477,79.89884949,126743200,0,0,AAPL
31-01-2020,79.17353771,79.6052633,76.05524935,76.35622406,199588400,0,0,AAPL
03-02-2020,75.07092776,77.33810501,74.55779425,76.14654541,173788400,0,0,AAPL
04-02-2020,77.78709422,78.85531105,77.3726394,78.66041565,136616400,0,0,AAPL
05-02-2020,79.81249045,80.11840399,78.68507563,79.30182648,118826800,0,0,AAPL
06-02-2020,79.57814604,80.23190057,79.00826875,80.22943115,105425600,0,0,AAPL
07-02-2020,79.71754882,79.97225297,78.63691072,79.13890076,117684000,0.1925,0,AAPL
10-02-2020,77.69227481,79.51477051,77.61067379,79.51477051,109348800,0,0,AAPL
11-02-2020,80.02170222,80.09588496,78.8124708,79.03502655,94323200,0,0,AAPL
12-02-2020,79.49499074,80.91688453,79.49499074,80.91194153,113730400,0,0,AAPL
13-02-2020,80.16760182,80.66959181,79.95988261,80.33575439,94747600,0,0,AAPL
14-02-2020,80.30360958,80.61024918,79.83624322,80.35554504,80113600,0,0,AAPL
18-02-2020,77.98406922,79.06965783,77.79860482,78.88419342,152531200,0,0,AAPL
19-02-2020,79.13147586,80.26157406,79.13147586,80.02664948,93984000,0,0,AAPL
20-02-2020,79.78183824,80.28135296,78.68883142,79.20565796,100566000,0,0,AAPL
21-02-2020,78.7902182,79.24275554,76.78225825,77.41283417,129554000,0,0,AAPL
24-02-2020,73.50819612,75.21941002,71.522491,73.73569489,222195200,0,0,AAPL
25-02-2020,74.4206731,74.81138138,70.75589531,71.23809814,230673600,0,0,AAPL
26-02-2020,70.85482149,73.66151768,70.84740322,72.36820984,198054800,0,0,AAPL
27-02-2020,69.51205772,70.72375694,67.49914717,67.63762665,320605600,0,0,AAPL
28-02-2020,63.61676421,68.84685876,63.39667617,67.59806061,426510000,0,0,AAPL
02-03-2020,69.80385216,74.54185014,68.67622925,73.89148712,341397200,0,0,AAPL
03-03-2020,75.09329197,75.17489297,70.67428781,71.54473877,319475600,0,0,AAPL
04-03-2020,73.30541402,75.02652133,72.4868985,74.86331177,219178400,0,0,AAPL
05-03-2020,73.07791184,74.07447352,72.06157062,72.43497467,187572800,0,0,AAPL
06-03-2020,69.73461828,71.91568156,69.54421087,71.47303772,226176800,0,0,AAPL
09-03-2020,65.22164093,68.767719,65.03617655,65.82007599,286744800,0,0,AAPL
10-03-2020,68.53280734,70.83256283,66.61139136,70.56054688,285290000,0,0,AAPL
11-03-2020,68.59462527,69.54172675,67.22712728,68.10993958,255598800,0,0,AAPL
12-03-2020,63.29034176,66.76718025,61.32689148,61.38376617,418474000,0,0,AAPL
13-03-2020,65.5035493,69.22025514,62.55095201,68.73804474,370732000,0,0,AAPL
16-03-2020,59.83081053,64.06681457,59.34860388,59.89510727,322423600,0,0,AAPL
17-03-2020,61.20571721,63.70330194,58.95294304,62.52869797,324056000,0,0,AAPL
18-03-2020,59.29173022,61.82146344,58.63642044,60.9980011,300233600,0,0,AAPL
19-03-2020,61.17604826,62.52375543,59.99402216,60.53063202,271857200,0,0,AAPL
20-03-2020,61.12412215,62.27400376,56.38118077,56.68781662,401693200,0,0,AAPL
23-03-2020,56.40096035,56.50481996,52.57544773,55.48352814,336752800,0,0,AAPL
24-03-2020,58.44848973,61.25023916,57.93908143,61.0499382,287531200,0,0,AAPL
25-03-2020,62.00692699,63.86157087,60.41193401,60.71362305,303602000,0,0,AAPL
26-03-2020,60.96091455,63.9679079,60.9213479,63.90856171,252087200,0,0,AAPL
27-03-2020,62.50150074,63.27303141,61.0919721,61.26259995,204216800,0,0,AAPL
30-03-2020,62.00445478,63.18648083,61.67308888,63.01090622,167976400,0,0,AAPL
31-03-2020,63.20626805,64.91006372,62.31603744,62.8823204,197002000,0,0,AAPL
01-04-2020,60.955966,61.50494093,59.13347038,59.57363892,176218400,0,0,AAPL
02-04-2020,59.4326849,60.62212933,58.58202091,60.56772614,165934000,0,0,AAPL
03-04-2020,60.04100424,60.75813169,59.093899,59.69727707,129880000,0,0,AAPL
06-04-2020,62.04401431,65.06337223,61.66814256,64.90511322,201820400,0,0,AAPL
07-04-2020,66.96501295,67.18757628,64.0470426,64.15337372,202887200,0,0,AAPL
08-04-2020,64.971883,66.11681771,64.59848649,65.79534912,168895200,0,0,AAPL
09-04-2020,66.44570471,66.78448509,65.45656141,66.27012634,161834800,0,0,AAPL
13-04-2020,66.34926905,67.68214347,65.7359974,67.57086182,131022800,0,0,AAPL
14-04-2020,69.24002882,71.28013681,68.75781845,70.98339081,194994800,0,0,AAPL
15-04-2020,69.8335203,70.80535184,69.39582707,70.33551025,131154400,0,0,AAPL
16-04-2020,71.06501414,71.26779037,69.82116653,70.89438629,157125200,0,0,AAPL
17-04-2020,70.39981563,70.95868412,68.46356303,69.93244171,215250000,0,0,AAPL
20-04-2020,68.73310952,69.65548097,68.46109356,68.48087311,130015200,0,0,AAPL
21-04-2020,68.32014514,68.56001276,65.63709174,66.36411285,180991600,0,0,AAPL
22-04-2020,67.65988022,68.72073866,67.3112138,68.27562714,116862400,0,0,AAPL
23-04-2020,68.21875133,69.67279344,67.97146546,68.0110321,124814400,0,0,AAPL
24-04-2020,68.54763551,69.98436559,68.49817533,69.97447205,126161200,0,0,AAPL
27-04-2020,69.68515307,70.36272146,69.22768026,70.02394104,117087600,0,0,AAPL
28-04-2020,70.49625906,70.68172348,68.79493846,68.88890076,112004800,0,0,AAPL
29-04-2020,70.4097004,71.63129306,70.2019812,71.15155792,137280800,0,0,AAPL
30-04-2020,71.7030035,72.83310165,71.3048769,72.65258026,183064000,0,0,AAPL
01-05-2020,70.78558503,73.93848009,70.68667219,71.48293304,240616800,0,0,AAPL
04-05-2020,71.50765556,72.62538493,70.80288935,72.49432373,133568000,0,0,AAPL
05-05-2020,72.96416753,74.43304619,72.8157945,73.5823822,147751200,0,0,AAPL
06-05-2020,74.29949557,74.98694985,73.90631202,74.34153748,142333600,0,0,AAPL
07-05-2020,74.9820174,75.46422784,74.67291009,75.11060333,115215200,0,0,AAPL
08-05-2020,75.78504458,76.95291166,75.45030349,76.89836121,133838400,0.205,0,AAPL
11-05-2020,76.39501155,78.61420642,76.18176611,78.10838318,145946400,0,0,AAPL
12-05-2020,78.80761246,79.26881315,77.0917664,77.21574402,162301200,0,0,AAPL
